,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_wood
0,LA,louisiana,2010,0.004672274001330628
1,LA,louisiana,2011,0.0046095683528319465
2,LA,louisiana,2012,0.003728244348460738
3,LA,louisiana,2013,0.003992087488814498
4,LA,louisiana,2014,0.004376269376320499
5,LA,louisiana,2015,0.0037482860551120677
6,LA,louisiana,2016,0.00465709458488288
7,LA,louisiana,2017,0.005448119569827563
8,LA,louisiana,2018,0.005806000948825955
9,LA,louisiana,2019,0.005102429046298968
10,LA,louisiana,2020,0.004791785603643983
