Year,prodinit_ippu_rubber_and_leather_tonne,Iso_code3,Region
2015,172943.19262827453,LA,louisiana
2016,169204.04339202202,LA,louisiana
2017,164258.8450225515,LA,louisiana
2018,172989.337283731,LA,louisiana
2019,181028.059696369,LA,louisiana
2020,188595.4944006925,LA,louisiana
