"Year","Region","iso_code3","frac_lvst_mm_cattle_nondairy_liquid_slurry"
2015,"louisiana","LA",0.01
2016,"louisiana","LA",0.01
2017,"louisiana","LA",0.01
2018,"louisiana","LA",0.01
2019,"louisiana","LA",0.01
2020,"louisiana","LA",0.01
