year,coal,natural_gas,diesel,hydrocarbon_gas_liquids,kerosene,gasoline,solid_biomass,electricity
2015,0.0,37.7,0.05,1.8,0.05,0,0.8,107.6
2016,0.0,32.1,0.05,1.7,0.05,0,0.5,104.6
2017,0.0,29.7,0.05,1.7,0.05,0,0.4,100.8
2018,0.0,38.6,0.05,1.7,0.05,0,0.6,109.4
2019,0.0,36.7,0.05,1.9,0.05,0,0.6,105.7
2020,0.0,32.7,0.05,2.0,0.05,0,0.5,103.9
2021,0.0,37.0,0.05,2.1,0.05,0,0.5,103.8
