"Year","Region","iso_code3","yf_agrc_pulses_tonne_ha"
2011,"louisiana","LA",2.38401428571429
2012,"louisiana","LA",2.56428571428571
2013,"louisiana","LA",2.54635714285714
2014,"louisiana","LA",2.46797142857143
2015,"louisiana","LA",3.1096
2016,"louisiana","LA",2.57511428571429
2017,"louisiana","LA",2.25492857142857
2018,"louisiana","LA",2.44655714285714
2019,"louisiana","LA",2.56314285714286
