,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_electronics
0,LA,Louisiana,2010,0.005312764225835011
1,LA,Louisiana,2011,0.005490867532741552
2,LA,Louisiana,2012,0.005498373589836299
3,LA,Louisiana,2013,0.005279759319900118
4,LA,Louisiana,2014,0.00394893988810657
5,LA,Louisiana,2015,0.0033918325274876785
6,LA,Louisiana,2016,0.00318035649856873
7,LA,Louisiana,2017,0.0032034085643956375
8,LA,Louisiana,2018,0.0032341205801945687
9,LA,Louisiana,2019,0.0032481937564748345
10,LA,Louisiana,2020,0.0029693166871811367
