Year,prodinit_ippu_plastic_tonne,Iso_code3,Region
2021,18364862.784855448,LA,louisiana
2022,18364862.784855448,LA,louisiana
2023,18364862.784855448,LA,louisiana
2024,18364862.784855448,LA,louisiana
2025,18364862.784855448,LA,louisiana
2026,18364862.784855448,LA,louisiana
2027,18364862.784855448,LA,louisiana
2028,18364862.784855448,LA,louisiana
2029,18364862.784855448,LA,louisiana
2030,18364862.784855448,LA,louisiana
2031,18364862.784855448,LA,louisiana
2032,18364862.784855448,LA,louisiana
2033,18364862.784855448,LA,louisiana
2034,18364862.784855448,LA,louisiana
2035,18364862.784855448,LA,louisiana
2036,18364862.784855448,LA,louisiana
2037,18364862.784855448,LA,louisiana
2038,18364862.784855448,LA,louisiana
2039,18364862.784855448,LA,louisiana
2040,18364862.784855448,LA,louisiana
2041,18364862.784855448,LA,louisiana
2042,18364862.784855448,LA,louisiana
2043,18364862.784855448,LA,louisiana
2044,18364862.784855448,LA,louisiana
2045,18364862.784855448,LA,louisiana
2046,18364862.784855448,LA,louisiana
2047,18364862.784855448,LA,louisiana
2048,18364862.784855448,LA,louisiana
2049,18364862.784855448,LA,louisiana
2050,18364862.784855448,LA,louisiana
