Year,frac_scoe_heat_energy_commercial_municipal_natural_gas,Iso_code3,Region
2015,0.2492963409730599,LA,louisiana
2016,0.2399675719497365,LA,louisiana
2017,0.2375667899712289,LA,louisiana
2018,0.2769350447296771,LA,louisiana
2019,0.2678357911518533,LA,louisiana
2020,0.2601975096607986,LA,louisiana
2021,0.2788744225115498,LA,louisiana
