,Region,iso_code3,Year,deminit_trde_regional_per_capita_passenger_km
0,louisiana,LA,2011,39020.55070885364
1,louisiana,LA,2012,39223.82791710169
2,louisiana,LA,2013,39224.496262673776
3,louisiana,LA,2014,39060.52829604073
4,louisiana,LA,2015,40089.205329323915
5,louisiana,LA,2016,40535.56558886173
6,louisiana,LA,2017,40548.189148807185
