"Year","Region","iso_code3","exports_agrc_bevs_and_spices_tonne"
2024,"louisiana","LA",1465.15999999997
2025,"louisiana","LA",1547.92999999999
2026,"louisiana","LA",1630.69999999998
2027,"louisiana","LA",1713.46999999997
2028,"louisiana","LA",1796.23999999999
2029,"louisiana","LA",1879.00999999998
2030,"louisiana","LA",1961.77999999997
2031,"louisiana","LA",2044.54999999999
2032,"louisiana","LA",2127.31999999998
2033,"louisiana","LA",2210.09
2034,"louisiana","LA",2292.85999999999
2035,"louisiana","LA",2375.62999999998
2036,"louisiana","LA",2458.39999999999
2037,"louisiana","LA",2541.16999999998
2038,"louisiana","LA",2623.93999999997
2039,"louisiana","LA",2706.70999999999
2040,"louisiana","LA",2789.47999999998
2041,"louisiana","LA",2872.24999999997
2042,"louisiana","LA",2955.01999999999
2043,"louisiana","LA",3037.78999999998
2044,"louisiana","LA",3120.56
2045,"louisiana","LA",3203.32999999999
2046,"louisiana","LA",3286.09999999998
2047,"louisiana","LA",3368.87
2048,"louisiana","LA",3451.63999999998
2049,"louisiana","LA",3534.40999999997
2050,"louisiana","LA",3617.17999999999
