iso_code3,Region,Year,frac_inen_energy_mining_solid_biomass
LA,louisiana,2021,0.0022265878649994
LA,louisiana,2022,0.0023324413659594
LA,louisiana,2023,0.0024534565607011
LA,louisiana,2024,0.0025752749105147
LA,louisiana,2025,0.0026895461965875
LA,louisiana,2026,0.002794440110291
LA,louisiana,2027,0.0028899360021835
LA,louisiana,2028,0.0029769927101712
LA,louisiana,2029,0.0030572096892505
LA,louisiana,2030,0.0031318717176212
LA,louisiana,2031,0.0032021272983813
LA,louisiana,2032,0.0032689408733931
LA,louisiana,2033,0.0033330830309322
LA,louisiana,2034,0.003381372265814
LA,louisiana,2035,0.0034218134113447
LA,louisiana,2036,0.0034609013836186
LA,louisiana,2037,0.0034988588962165
LA,louisiana,2038,0.0035358256290261
LA,louisiana,2039,0.003571884073449
LA,louisiana,2040,0.0036070796764947
LA,louisiana,2041,0.0036414357939345
LA,louisiana,2042,0.0036749642383671
LA,louisiana,2043,0.0037076722926498
LA,louisiana,2044,0.0037395670256964
LA,louisiana,2045,0.003770657649262
LA,louisiana,2046,0.0038009565277284
LA,louisiana,2047,0.0038304793218901
LA,louisiana,2048,0.0038592446265045
LA,louisiana,2049,0.0038872733572244
LA,louisiana,2050,0.0039145880580977
