Year,prodinit_ippu_mining_tonne,Iso_code3,Region
2015,30530000,LA,louisiana
2016,30640000,LA,louisiana
2017,27770000,LA,louisiana
2018,29600000,LA,louisiana
2019,29980000,LA,louisiana
2020,29980000,LA,louisiana
