"iso_code3","frac_waso_initial_composition_mun_rubber_leather","Year"
"LA",0.095,2010
"LA",0.095,2011
"LA",0.095,2012
"LA",0.095,2013
"LA",0.095,2014
"LA",0.095,2015
"LA",0.095,2016
"LA",0.095,2017
"LA",0.095,2018
"LA",0.095,2019
"LA",0.095,2020
