iso_code3,Region,Year,frac_inen_energy_recycled_glass_diesel
LA,louisiana,2021,0.0148120260675924
LA,louisiana,2022,0.0197984605643744
LA,louisiana,2023,0.0212025579354221
LA,louisiana,2024,0.0205810521743245
LA,louisiana,2025,0.0197701929935621
LA,louisiana,2026,0.0196773083441771
LA,louisiana,2027,0.0204431453531096
LA,louisiana,2028,0.0217286644918131
LA,louisiana,2029,0.0230967005367355
LA,louisiana,2030,0.0242993739836518
LA,louisiana,2031,0.0249365507228687
LA,louisiana,2032,0.0252503720042003
LA,louisiana,2033,0.0255684041460024
LA,louisiana,2034,0.0259375638720472
LA,louisiana,2035,0.0263551669774033
LA,louisiana,2036,0.0267968427457129
LA,louisiana,2037,0.0272404376895581
LA,louisiana,2038,0.0276759474289534
LA,louisiana,2039,0.0281037758475946
LA,louisiana,2040,0.0285285071699438
LA,louisiana,2041,0.0289538940259552
LA,louisiana,2042,0.0293810597695459
LA,louisiana,2043,0.0298091505812374
LA,louisiana,2044,0.0302367826773425
LA,louisiana,2045,0.0306630767178543
LA,louisiana,2046,0.0310879216961432
LA,louisiana,2047,0.0315117081345974
LA,louisiana,2048,0.0319349311572706
LA,louisiana,2049,0.0323579301850465
LA,louisiana,2050,0.0327808272166608
