Year,prodinit_ippu_paper_tonne,Iso_code3,Region
2015,8544171.79721959,LA,louisiana
2016,8492204.587894281,LA,louisiana
2017,8581493.00887678,LA,louisiana
2018,8470546.32499583,LA,louisiana
2019,8320154.893833,LA,louisiana
2020,8386226.622793961,LA,louisiana
