Year,consumpinit_scoe_gj_per_hh_residential_elec_appliances,Iso_code3,Region
2015,15.116021063487352,LA,louisiana
2016,14.657635044051109,LA,louisiana
2017,14.076433275018523,LA,louisiana
2018,15.283411427453055,LA,louisiana
2019,14.749325810852218,LA,louisiana
2020,14.386861313868614,LA,louisiana
2021,14.11373130245459,LA,louisiana
