,Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value (millions of dollars),Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Chained 2012 Value Percent Change,Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value (millions of dollars),Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Current Value Percent Change,Tons (thousands),Tons (thousands),Tons (thousands),Tons (thousands),Tons (thousands),Tons Percent Change,Tons Percent Change,Tons Percent Change,Tons Percent Change,Tons Percent Change,Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles (millions),Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change,Ton Miles Percent Change
Origin State,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022,2018,2019,2020,2021,2022
Indiana,502.324,493.591,465.24,465.176,478.542,,"-1,74%","-5,74%","-0,01%","2,87%",523.079,512.64,475.199,549.255,652.465,,"-2,00%","-7,30%","15,58%","18,79%",566.989,547.5,538.432,527.147,539.662,,"-3,44%","-1,66%","-2,10%","2,37%",129.753,123.521,122.219,119.653,122.016,,"-4,80%","-1,05%","-2,10%","1,97%"
Iowa,263.991,262.114,252.339,257.962,257.058,,"-0,71%","-3,73%","2,23%","-0,35%",272.385,269.143,255.197,310.375,368.455,,"-1,19%","-5,18%","21,62%","18,71%",516.865,515.907,489.877,513.79,509.691,,"-0,19%","-5,05%","4,88%","-0,80%",155.468,150.741,144.365,151.363,148.815,,"-3,04%","-4,23%","4,85%","-1,68%"
Kansas,237.919,233.53,221.077,227.113,222.773,,"-1,84%","-5,33%","2,73%","-1,91%",249.166,241.908,220.717,275.641,322.619,,"-2,91%","-8,76%","24,88%","17,04%",350.561,358.81,339.312,369.527,301.027,,"2,35%","-5,43%","8,90%","-18,54%",87.807,90.034,85.498,89.926,74.287,,"2,54%","-5,04%","5,18%","-17,39%"
Kentucky,358.594,348.543,330.037,345.374,350.955,,"-2,80%","-5,31%","4,65%","1,62%",371.286,359.874,335.154,397.192,464.605,,"-3,07%","-6,87%","18,51%","16,97%",343.628,338.037,320.009,335.244,339.391,,"-1,63%","-5,33%","4,76%","1,24%",95.711,92.534,84.777,88.779,89.692,,"-3,32%","-8,38%","4,72%","1,03%"
Louisiana,409.426,400.783,371.92,371.332,386.319,,"-2,11%","-7,20%","-0,16%","4,04%",461.72,423.079,344.771,476.831,658.302,,"-8,37%","-18,51%","38,30%","38,06%",936.988,939.39,862.165,867.218,971.342,,"0,26%","-8,22%","0,59%","12,01%",230.489,230.601,212.961,214.151,231.975,,"0,05%","-7,65%","0,56%","8,32%"
Maine,56.181,54.794,50.57,52.859,51.389,,"-2,47%","-7,71%","4,53%","-2,78%",59.06,56.994,51.164,62.975,72.639,,"-3,50%","-10,23%","23,08%","15,35%",75.86,76.052,72.141,73.86,75.11,,"0,25%","-5,14%","2,38%","1,69%",14.969,14.958,14.318,14.554,14.904,,"-0,07%","-4,28%","1,65%","2,41%"
Maryland,226.806,227.933,215.671,223.219,228.806,,"0,50%","-5,38%","3,50%","2,50%",233.877,235.365,221.195,256.486,300.124,,"0,64%","-6,02%","15,95%","17,01%",202.424,209.187,204.514,215.044,215.443,,"3,34%","-2,23%","5,15%","0,19%",26.77,27.428,27.946,28.387,27.172,,"2,46%","1,89%","1,58%","-4,28%"
Massachusetts,318.386,314.284,295.802,306.405,308.061,,"-1,29%","-5,88%","3,58%","0,54%",332.29,328.009,302.266,353.716,410.16,,"-1,29%","-7,85%","17,02%","15,96%",187.968,182.31,169.893,168.332,177.354,,"-3,01%","-6,81%","-0,92%","5,36%",28.882,26.677,24.969,25.51,25.819,,"-7,64%","-6,40%","2,17%","1,21%"
Michigan,749.55,730.742,667.302,691.017,703.312,,"-2,51%","-8,68%","3,55%","1,78%",772.287,755.058,683.696,788.78,901.448,,"-2,23%","-9,45%","15,37%","14,28%",568.259,551.823,529.593,565.802,557.136,,"-2,89%","-4,03%","6,84%","-1,53%",131.053,125.027,122.066,129.417,128.333,,"-4,60%","-2,37%","6,02%","-0,84%"
Minnesota,352.754,344.683,332.852,339.584,344.051,,"-2,29%","-3,43%","2,02%","1,32%",366.482,357.136,339.155,403.163,479.761,,"-2,55%","-5,03%","18,87%","19,00%",565.971,544.426,537.969,546.64,564.864,,"-3,81%","-1,19%","1,61%","3,33%",198.609,189.211,179.888,180.842,186.129,,"-4,73%","-4,93%","0,53%","2,92%"
