Year,iso_code3,frac_lndu_initial_forests_secondary
2020,LA,0.012246722125039071
2021,LA,0.012246722125039071
2022,LA,0.012246722125039071
2023,LA,0.012246722125039071
2024,LA,0.012246722125039071
2025,LA,0.012246722125039071
2026,LA,0.012246722125039071
2027,LA,0.012246722125039071
2028,LA,0.012246722125039071
2029,LA,0.012246722125039071
2030,LA,0.012246722125039071
2031,LA,0.012246722125039071
2032,LA,0.012246722125039071
2033,LA,0.012246722125039071
2034,LA,0.012246722125039071
2035,LA,0.012246722125039071
2036,LA,0.012246722125039071
2037,LA,0.012246722125039071
2038,LA,0.012246722125039071
2039,LA,0.012246722125039071
2040,LA,0.012246722125039071
2041,LA,0.012246722125039071
2042,LA,0.012246722125039071
2043,LA,0.012246722125039071
2044,LA,0.012246722125039071
2045,LA,0.012246722125039071
2046,LA,0.012246722125039071
2047,LA,0.012246722125039071
2048,LA,0.012246722125039071
2049,LA,0.012246722125039071
2050,LA,0.012246722125039071
