"Year","Region","iso_code3","cost_enfu_fuel_diesel_usd_per_m3"
2024,"louisiana","LA",653.989427141584
2025,"louisiana","LA",661.562498815233
2026,"louisiana","LA",667.579303546718
2027,"louisiana","LA",679.721191211874
2028,"louisiana","LA",692.3145697875
2029,"louisiana","LA",699.082355505848
2030,"louisiana","LA",711.763345212595
2031,"louisiana","LA",719.880428601217
2032,"louisiana","LA",727.871087900214
2033,"louisiana","LA",732.196709191894
2034,"louisiana","LA",735.60810285671
2035,"louisiana","LA",739.741185335431
2036,"louisiana","LA",740.960210793699
2037,"louisiana","LA",749.748692017516
2038,"louisiana","LA",756.502743919777
2039,"louisiana","LA",756.319195116865
2040,"louisiana","LA",769.239929482683
2041,"louisiana","LA",777.169848160294
2042,"louisiana","LA",781.291552139215
2043,"louisiana","LA",789.055238564631
2044,"louisiana","LA",790.67480048528
2045,"louisiana","LA",789.110671431009
2046,"louisiana","LA",798.850202832066
2047,"louisiana","LA",802.493180482627
2048,"louisiana","LA",802.457817564878
2049,"louisiana","LA",806.001938278392
2050,"louisiana","LA",805.172999639831
