Year,iso_code3,pij_lndu_croplands_to_forests_mangroves
2015,LA,0.011755323728181858
2016,LA,0.0025863941161312475
2017,LA,0.0033366656812950173
2018,LA,0.002122535285050566
2019,LA,0.0049453172096505784
