"Year","Region","iso_code3","yf_agrc_nuts_tonne_ha"
2011,"louisiana","LA",3.62691666666667
2012,"louisiana","LA",3.85498333333333
2013,"louisiana","LA",3.56213333333333
2014,"louisiana","LA",3.44341666666667
2015,"louisiana","LA",2.9468
2016,"louisiana","LA",3.45548333333333
2017,"louisiana","LA",3.04181666666667
2018,"louisiana","LA",3.37528333333333
2019,"louisiana","LA",2.99218333333333
