"Year","Region","iso_code3","frac_lvst_mm_mules_anaerobic_lagoon"
2015,"louisiana","LA",0.26
2016,"louisiana","LA",0.26
2017,"louisiana","LA",0.26
2018,"louisiana","LA",0.26
2019,"louisiana","LA",0.26
2020,"louisiana","LA",0.26
