Year,Region,iso_code3,frac_agrc_production_lost_sent_to_msw
2008,louisiana,LA,0.14
2009,louisiana,LA,0.14
2010,louisiana,LA,0.14
2011,louisiana,LA,0.14
2012,louisiana,LA,0.14
2013,louisiana,LA,0.14
2014,louisiana,LA,0.14
2015,louisiana,LA,0.14
2016,louisiana,LA,0.14
2017,louisiana,LA,0.14
2018,louisiana,LA,0.14
2019,louisiana,LA,0.14
2020,louisiana,LA,0.14
2021,louisiana,LA,0.14
2022,louisiana,LA,0.14
2023,louisiana,LA,0.14
