"Year","Region","iso_code3","exports_agrc_rice_tonne"
2008,"louisiana","LA",1628169.15
2009,"louisiana","LA",1453967.92
2010,"louisiana","LA",1820861.29
2011,"louisiana","LA",1472821.99
2012,"louisiana","LA",1903367.96
2013,"louisiana","LA",1729101.51
2014,"louisiana","LA",1697128.1
2015,"louisiana","LA",2095496.23
2016,"louisiana","LA",2019518.25
2017,"louisiana","LA",1768860.46
2018,"louisiana","LA",1569392.97
2019,"louisiana","LA",1831385.73
2020,"louisiana","LA",1505275.6
2021,"louisiana","LA",1759061.66
2022,"louisiana","LA",1250016.3
2023,"louisiana","LA",1527011.45
