,iso_code3,Region,Year,efficfactor_scoe_heat_energy_commercial_municipal_solid_biomass
0,LA,louisiana,2024,0.7
1,LA,louisiana,2025,0.7
2,LA,louisiana,2026,0.7
3,LA,louisiana,2027,0.7
4,LA,louisiana,2028,0.7
5,LA,louisiana,2029,0.7
6,LA,louisiana,2030,0.7
7,LA,louisiana,2031,0.7
8,LA,louisiana,2032,0.7
9,LA,louisiana,2033,0.7
10,LA,louisiana,2034,0.7
11,LA,louisiana,2035,0.7
12,LA,louisiana,2036,0.7
13,LA,louisiana,2037,0.7
14,LA,louisiana,2038,0.7
15,LA,louisiana,2039,0.7
16,LA,louisiana,2040,0.7
17,LA,louisiana,2041,0.7
18,LA,louisiana,2042,0.7
19,LA,louisiana,2043,0.7
20,LA,louisiana,2044,0.7
21,LA,louisiana,2045,0.7
22,LA,louisiana,2046,0.7
23,LA,louisiana,2047,0.7
24,LA,louisiana,2048,0.7
25,LA,louisiana,2049,0.7
26,LA,louisiana,2050,0.7
