Year,iso_code3,pop_lvst_initial_cattle_nondairy
2015,LA,788835
2016,LA,788835
2017,LA,788835
2018,LA,775607
2019,LA,762379
2020,LA,749151
2021,LA,735923
2022,LA,722695
