"Year","Region","iso_code3","yf_agrc_tubers_tonne_ha"
2011,"louisiana","LA",32.719225
2012,"louisiana","LA",36.181175
2013,"louisiana","LA",36.07005
2014,"louisiana","LA",35.664525
2015,"louisiana","LA",37.5471
2016,"louisiana","LA",39.0001
2017,"louisiana","LA",39.119475
2018,"louisiana","LA",37.352525
2019,"louisiana","LA",38.55185
