Year,iso_code3,frac_lndu_initial_forests_primary
2020,LA,0.23268772037574234
2021,LA,0.23268772037574234
2022,LA,0.23268772037574234
2023,LA,0.23268772037574234
2024,LA,0.23268772037574234
2025,LA,0.23268772037574234
2026,LA,0.23268772037574234
2027,LA,0.23268772037574234
2028,LA,0.23268772037574234
2029,LA,0.23268772037574234
2030,LA,0.23268772037574234
2031,LA,0.23268772037574234
2032,LA,0.23268772037574234
2033,LA,0.23268772037574234
2034,LA,0.23268772037574234
2035,LA,0.23268772037574234
2036,LA,0.23268772037574234
2037,LA,0.23268772037574234
2038,LA,0.23268772037574234
2039,LA,0.23268772037574234
2040,LA,0.23268772037574234
2041,LA,0.23268772037574234
2042,LA,0.23268772037574234
2043,LA,0.23268772037574234
2044,LA,0.23268772037574234
2045,LA,0.23268772037574234
2046,LA,0.23268772037574234
2047,LA,0.23268772037574234
2048,LA,0.23268772037574234
2049,LA,0.23268772037574234
2050,LA,0.23268772037574234
