iso_code3,Region,Year,frac_inen_energy_other_product_manufacturing_coke
LA,louisiana,2000,0.0054849901789115
LA,louisiana,2001,0.0078250193503616
LA,louisiana,2002,0.0063221804555717
LA,louisiana,2003,0.0067665084940614
LA,louisiana,2004,0.0076329578866152
LA,louisiana,2005,0.0078475143295146
LA,louisiana,2006,0.0051166029539032
LA,louisiana,2007,0.0052947310420011
LA,louisiana,2008,0.0053034111857641
LA,louisiana,2009,0.005161350605224
LA,louisiana,2010,0.0057758268613303
LA,louisiana,2011,0.0057777858870285
LA,louisiana,2012,0.004934520145518
LA,louisiana,2013,0.005228983718763
LA,louisiana,2014,0.0047553740899508
LA,louisiana,2015,0.0044303653966372
LA,louisiana,2016,0.0039015521445638
LA,louisiana,2017,0.0038795972614255
LA,louisiana,2018,0.0035535892882948
LA,louisiana,2019,0.0035129199419801
LA,louisiana,2020,0.0033269261860707
