iso_code3,Region,Year,frac_inen_energy_mining_gasoline
LA,louisiana,2000,0.0279404575368223
LA,louisiana,2001,0.0297958569727682
LA,louisiana,2002,0.0281549634916372
LA,louisiana,2003,0.0276311077765178
LA,louisiana,2004,0.0282832179046001
LA,louisiana,2005,0.0285367789733639
LA,louisiana,2006,0.0274699551889103
LA,louisiana,2007,0.0265160216040817
LA,louisiana,2008,0.0272454447096807
LA,louisiana,2009,0.0265411332954694
LA,louisiana,2010,0.0277732473909309
LA,louisiana,2011,0.0285754573752555
LA,louisiana,2012,0.0268855958293994
LA,louisiana,2013,0.0258291097728221
LA,louisiana,2014,0.023940724729235
LA,louisiana,2015,0.0228643593444352
LA,louisiana,2016,0.0186452638195424
LA,louisiana,2017,0.0174843672053551
LA,louisiana,2018,0.014707339487707
LA,louisiana,2019,0.0132851698952048
LA,louisiana,2020,0.0119378451827825
