"Year","Region","iso_code3","exports_agrc_pulses_tonne"
2024,"louisiana","LA",25658040.8832142
2025,"louisiana","LA",25468177.0847619
2026,"louisiana","LA",25278313.2863095
2027,"louisiana","LA",25088449.4878571
2028,"louisiana","LA",24898585.6894047
2029,"louisiana","LA",24708721.8909523
2030,"louisiana","LA",24518858.0925
2031,"louisiana","LA",24328994.2940476
2032,"louisiana","LA",24139130.4955952
2033,"louisiana","LA",23949266.6971428
2034,"louisiana","LA",23759402.8986905
2035,"louisiana","LA",23569539.1002381
2036,"louisiana","LA",23379675.3017857
2037,"louisiana","LA",23189811.5033333
2038,"louisiana","LA",22999947.704881
2039,"louisiana","LA",22810083.9064286
2040,"louisiana","LA",22620220.1079761
2041,"louisiana","LA",22430356.3095238
2042,"louisiana","LA",22240492.5110714
2043,"louisiana","LA",22050628.712619
2044,"louisiana","LA",21860764.9141666
2045,"louisiana","LA",21670901.1157143
2046,"louisiana","LA",21481037.3172619
2047,"louisiana","LA",21291173.5188095
2048,"louisiana","LA",21101309.7203571
2049,"louisiana","LA",20911445.9219047
2050,"louisiana","LA",20721582.1234524
