iso_code3,Region,Year,frac_inen_energy_lime_and_carbonite_furnace_gas
LA,louisiana,2021,0.0002438343515972
LA,louisiana,2022,0.0002467009612062
LA,louisiana,2023,0.0002448349482204
LA,louisiana,2024,0.0002548608782561
LA,louisiana,2025,0.0002635170025872
LA,louisiana,2026,0.0002703126541782
LA,louisiana,2027,0.0002743172474325
LA,louisiana,2028,0.0002771381665311
LA,louisiana,2029,0.0002806065453115
LA,louisiana,2030,0.0002858426838396
LA,louisiana,2031,0.0002883894257282
LA,louisiana,2032,0.0002892625967241
LA,louisiana,2033,0.0002902727323685
LA,louisiana,2034,0.0002909525388524
LA,louisiana,2035,0.0002912137566424
LA,louisiana,2036,0.0002911848922551
LA,louisiana,2037,0.0002910337451566
LA,louisiana,2038,0.0002908681293432
LA,louisiana,2039,0.0002907217180963
LA,louisiana,2040,0.0002905852518136
LA,louisiana,2041,0.0002904416998225
LA,louisiana,2042,0.000290284663465
LA,louisiana,2043,0.0002901194440108
LA,louisiana,2044,0.0002899557294466
LA,louisiana,2045,0.0002898005931243
LA,louisiana,2046,0.0002896557666035
LA,louisiana,2047,0.0002895187698046
LA,louisiana,2048,0.0002893855828971
LA,louisiana,2049,0.0002892528428447
LA,louisiana,2050,0.0002891187527538
