"Year","Region","iso_code3","cost_enfu_fuel_hydrogen_usd_per_mmbtu"
2015,"louisiana","LA",72.3239139847742
2016,"louisiana","LA",72.3239139847742
2017,"louisiana","LA",72.3239139847742
2018,"louisiana","LA",72.3239139847742
2019,"louisiana","LA",72.3239139847742
2020,"louisiana","LA",72.3239139847742
2021,"louisiana","LA",66.407640789389
2022,"louisiana","LA",60.4913675940054
2023,"louisiana","LA",54.5750943986203
