"year","location_code","prodinit_ippu_electronics_tonne"
2010,"ABW",3393.61626247716
2011,"ABW",2862.14291139348
2012,"ABW",2450.69594825699
2013,"ABW",2621.56499735452
2014,"ABW",2797.82391189075
2015,"ABW",3237.1293112262
2016,"ABW",3423.38783956898
2017,"ABW",3520.61182317584
2018,"ABW",3422.72639884085
2019,"ABW",6582.21506443224
2020,"ABW",3313.71567192532
2010,"AGO",102381.956432247
2011,"AGO",114731.022836206
2012,"AGO",192003.850540237
2013,"AGO",160905.348050123
2014,"AGO",192748.74734002
2015,"AGO",134732.254621995
2016,"AGO",135657.406218168
2017,"AGO",145025.130422871
2018,"AGO",95686.9710814052
2019,"AGO",115310.604081759
2020,"AGO",104007.983440785
2010,"ALB",28759.2558894378
2011,"ALB",26556.8534813177
2012,"ALB",23001.0360595633
2013,"ALB",23979.4206869154
2014,"ALB",21806.3493222337
2015,"ALB",26186.1379953112
2016,"ALB",28171.5465688598
2017,"ALB",29428.1384727198
2018,"ALB",32824.1479924953
2019,"ALB",34831.7916139915
2020,"ALB",43809.9485522869
2010,"ARE",1012708.28134275
2011,"ARE",1239522.21434342
2012,"ARE",1779046.17090056
2013,"ARE",1413465.44552154
2014,"ARE",1464846.76361207
2015,"ARE",1375654.48842532
2016,"ARE",1170812.18189412
2017,"ARE",1665355.56623986
2018,"ARE",1739738.65014856
2019,"ARE",1743793.04739422
2020,"ARE",1509875.67733081
2010,"ARG",1249172.76699561
2011,"ARG",1362403.21864424
2012,"ARG",1516266.76291245
2013,"ARG",1565552.67914844
2014,"ARG",1308342.41213435
2015,"ARG",1679455.15637034
2016,"ARG",1316200.48301081
2017,"ARG",1582709.06754556
2018,"ARG",1136130.88830117
2019,"ARG",1111414.7552005
2020,"ARG",937819.096751419
2010,"ARM",13249.8904896094
2011,"ARM",14530.70526289
2012,"ARM",14883.9485935879
2013,"ARM",9371.97274251933
2014,"ARM",11117.1905743378
2015,"ARM",8298.55553522563
2016,"ARM",13882.9110660895
2017,"ARM",15647.2379164593
2018,"ARM",18607.0559987036
2019,"ARM",17992.8654047528
2020,"ARM",20176.0701943028
2010,"ASM",101.2558651447
2011,"ASM",204.628007753731
2012,"ASM",302.673144460657
2013,"ASM",94.6995439643585
2014,"ASM",116.803000860117
2015,"ASM",325.700132337888
2016,"ASM",322.812673474025
2017,"ASM",244.869587344569
2018,"ASM",137.348968709796
2019,"ASM",107.644943642813
2020,"ASM",153.230376029824
2010,"ATG",2609.9343974609
2011,"ATG",1098.04821596733
2012,"ATG",1475.40516639175
2013,"ATG",1399.49934987761
2014,"ATG",1968.4237375624
2015,"ATG",1285.86108043717
2016,"ATG",1703.80674050209
2017,"ATG",1377.24860607399
2018,"ATG",1506.60826589801
2019,"ATG",2111.21384418923
2020,"ATG",1576.45193949836
2010,"AUS",2881625.05191101
2011,"AUS",3288678.57879337
2012,"AUS",3317057.56461666
2013,"AUS",3092043.56885022
2014,"AUS",2987305.16601027
2015,"AUS",2836700.57354371
2016,"AUS",2802686.77605412
2017,"AUS",3164544.19054412
2018,"AUS",3316367.25756315
2019,"AUS",3273149.58833242
2020,"AUS",3252042.43139325
2010,"AUT",1886199.28387421
2011,"AUT",1952479.14305728
2012,"AUT",1906928.77379512
2013,"AUT",2016097.95574784
2014,"AUT",2111114.96946852
2015,"AUT",1929398.61453836
2016,"AUT",1961378.7035599
2017,"AUT",2016313.67886473
2018,"AUT",2142934.24905978
2019,"AUT",2070784.78773344
2020,"AUT",2001685.6243058
2010,"AZE",116532.940254125
2011,"AZE",128555.538351989
2012,"AZE",139295.529424513
2013,"AZE",120498.59476913
2014,"AZE",117896.766869971
2015,"AZE",71767.349898448
2016,"AZE",45916.4800401515
2017,"AZE",50261.9167522189
2018,"AZE",62788.6330928901
2019,"AZE",94437.9757244604
2020,"AZE",83503.0870531903
2010,"BDI",3949.69904178578
2011,"BDI",5037.18995609548
2012,"BDI",4195.46178138538
2013,"BDI",4109.40905027406
2014,"BDI",4766.10335837761
2015,"BDI",9748.03099025535
2016,"BDI",6647.21829919691
2017,"BDI",10113.5655592108
2018,"BDI",4035.2975903201
2019,"BDI",3253.83349065269
2020,"BDI",5948.02855269991
2010,"BEL",1314256.12485322
2011,"BEL",1361670.1184705
2012,"BEL",1237416.16397942
2013,"BEL",1236635.55196081
2014,"BEL",1239603.52521388
2015,"BEL",1029656.61657516
2016,"BEL",1033195.71204526
2017,"BEL",979862.728966531
2018,"BEL",1037324.9432709
2019,"BEL",1242289.57197324
2020,"BEL",1262688.39701454
2010,"BEN",48123.4457586567
2011,"BEN",61237.0791932768
2012,"BEN",56243.1084811581
2013,"BEN",47409.370273681
2014,"BEN",50729.1879745305
2015,"BEN",46028.4463037384
2016,"BEN",45535.4007231696
2017,"BEN",36947.6244348291
2018,"BEN",39510.0787319358
2019,"BEN",34698.4352276055
2020,"BEN",23294.2574162704
2010,"BFA",10986.1976371934
2011,"BFA",14209.4554414613
2012,"BFA",17865.7665955826
2013,"BFA",13078.7581187529
2014,"BFA",15724.6771249876
2015,"BFA",16377.5249933699
2016,"BFA",11979.7723934859
2017,"BFA",19453.9864305465
2018,"BFA",18737.2899986822
2019,"BFA",20792.5002606908
2020,"BFA",15920.5928994753
