,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_lime_and_carbonite
0,LA,Louisiana,2021,0.00539532856895501
1,LA,Louisiana,2022,0.00539532856895501
2,LA,Louisiana,2023,0.00539532856895501
3,LA,Louisiana,2024,0.00539532856895501
4,LA,Louisiana,2025,0.00539532856895501
5,LA,Louisiana,2026,0.00539532856895501
6,LA,Louisiana,2027,0.00539532856895501
7,LA,Louisiana,2028,0.00539532856895501
8,LA,Louisiana,2029,0.00539532856895501
9,LA,Louisiana,2030,0.00539532856895501
10,LA,Louisiana,2031,0.00539532856895501
11,LA,Louisiana,2032,0.00539532856895501
12,LA,Louisiana,2033,0.00539532856895501
13,LA,Louisiana,2034,0.00539532856895501
14,LA,Louisiana,2035,0.00539532856895501
15,LA,Louisiana,2036,0.00539532856895501
16,LA,Louisiana,2037,0.00539532856895501
17,LA,Louisiana,2038,0.00539532856895501
18,LA,Louisiana,2039,0.00539532856895501
19,LA,Louisiana,2040,0.00539532856895501
20,LA,Louisiana,2041,0.00539532856895501
21,LA,Louisiana,2042,0.00539532856895501
22,LA,Louisiana,2043,0.00539532856895501
23,LA,Louisiana,2044,0.00539532856895501
24,LA,Louisiana,2045,0.00539532856895501
25,LA,Louisiana,2046,0.00539532856895501
26,LA,Louisiana,2047,0.00539532856895501
27,LA,Louisiana,2048,0.00539532856895501
28,LA,Louisiana,2049,0.00539532856895501
29,LA,Louisiana,2050,0.00539532856895501
