"state","AverageHouseholdSize"
"Alabama",2.53
"Alaska",2.78
"Arizona",2.65
"Arkansas",2.5
"California",2.94
"Colorado",2.6
"Connecticut",2.5
"Delaware",2.54
"District of Columbia",2.3
"Florida",2.62
"Georgia",2.68
"Hawaii",2.94
"Idaho",2.66
"Illinois",2.54
"Indiana",2.5
"Iowa",2.4
"Kansas",2.48
"Kentucky",2.48
"Louisiana",2.59
"Maine",2.29
"Maryland",2.64
"Massachusetts",2.5
"Michigan",2.45
"Minnesota",2.48
"Mississippi",2.59
"Missouri",2.44
"Montana",2.37
"Nebraska",2.44
"Nevada",2.65
"New Hampshire",2.44
"New Jersey",2.66
"New Mexico",2.59
"New York",2.55
"North Carolina",2.51
"North Dakota",2.29
"Ohio",2.41
"Oklahoma",2.57
"Oregon",2.49
"Pennsylvania",2.42
"Rhode Island",2.45
"South Carolina",2.53
"South Dakota",2.43
"Tennessee",2.51
"Texas",2.83
"Utah",3.09
"Vermont",2.28
"Virginia",2.6
"Washington",2.53
"West Virginia",2.4
"Wisconsin",2.38
"Wyoming",2.43
"United States",2.614032402206215
