,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_glass
0,LA,Louisiana,2021,0.013156845125068137
1,LA,Louisiana,2022,0.013156845125068137
2,LA,Louisiana,2023,0.013156845125068137
3,LA,Louisiana,2024,0.013156845125068137
4,LA,Louisiana,2025,0.013156845125068137
5,LA,Louisiana,2026,0.013156845125068137
6,LA,Louisiana,2027,0.013156845125068137
7,LA,Louisiana,2028,0.013156845125068137
8,LA,Louisiana,2029,0.013156845125068137
9,LA,Louisiana,2030,0.013156845125068137
10,LA,Louisiana,2031,0.013156845125068137
11,LA,Louisiana,2032,0.013156845125068137
12,LA,Louisiana,2033,0.013156845125068137
13,LA,Louisiana,2034,0.013156845125068137
14,LA,Louisiana,2035,0.013156845125068137
15,LA,Louisiana,2036,0.013156845125068137
16,LA,Louisiana,2037,0.013156845125068137
17,LA,Louisiana,2038,0.013156845125068137
18,LA,Louisiana,2039,0.013156845125068137
19,LA,Louisiana,2040,0.013156845125068137
20,LA,Louisiana,2041,0.013156845125068137
21,LA,Louisiana,2042,0.013156845125068137
22,LA,Louisiana,2043,0.013156845125068137
23,LA,Louisiana,2044,0.013156845125068137
24,LA,Louisiana,2045,0.013156845125068137
25,LA,Louisiana,2046,0.013156845125068137
26,LA,Louisiana,2047,0.013156845125068137
27,LA,Louisiana,2048,0.013156845125068137
28,LA,Louisiana,2049,0.013156845125068137
29,LA,Louisiana,2050,0.013156845125068137
