iso_code3,Region,Year,frac_inen_energy_recycled_paper_oil
LA,louisiana,2000,0.0360430668553236
LA,louisiana,2001,0.0344340146953418
LA,louisiana,2002,0.0329640041030781
LA,louisiana,2003,0.0323948942959712
LA,louisiana,2004,0.0319674408721662
LA,louisiana,2005,0.0313294946895986
LA,louisiana,2006,0.0303267337535354
LA,louisiana,2007,0.0251397724237873
LA,louisiana,2008,0.0234123665584339
LA,louisiana,2009,0.0203439142404271
LA,louisiana,2010,0.022397004082073
LA,louisiana,2011,0.0227420731514557
LA,louisiana,2012,0.0141556239402122
LA,louisiana,2013,0.0143757125734498
LA,louisiana,2014,0.0114421533265225
LA,louisiana,2015,0.0117933515676608
LA,louisiana,2016,0.0060266044172236
LA,louisiana,2017,0.0060194095245894
LA,louisiana,2018,0.0042486910838838
LA,louisiana,2019,0.0041936578106534
LA,louisiana,2020,0.0044293965345548
