,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_lime_and_carbonite
0,LA,Louisiana,2010,0.0035043081270325314
1,LA,Louisiana,2011,0.004744578999517455
2,LA,Louisiana,2012,0.004960557247072613
3,LA,Louisiana,2013,0.004327698177013229
4,LA,Louisiana,2014,0.0049280967876054
5,LA,Louisiana,2015,0.005028046169418289
6,LA,Louisiana,2016,0.005407126842017384
7,LA,Louisiana,2017,0.004377677855206286
8,LA,Louisiana,2018,0.005550389049856052
9,LA,Louisiana,2019,0.005318406820025537
10,LA,Louisiana,2020,0.00539532856895501
