iso_code3,Region,Year,exports_enfu_pj_fuel_natural_gas
LA,louisiana,2025,215.39200000000005
LA,louisiana,2026,215.39200000000005
LA,louisiana,2027,215.39200000000005
LA,louisiana,2028,215.39200000000005
LA,louisiana,2029,215.39200000000005
LA,louisiana,2030,215.39200000000005
LA,louisiana,2031,215.39200000000005
LA,louisiana,2032,215.39200000000005
LA,louisiana,2033,215.39200000000005
LA,louisiana,2034,215.39200000000005
LA,louisiana,2035,215.39200000000005
LA,louisiana,2036,215.39200000000005
LA,louisiana,2037,215.39200000000005
LA,louisiana,2038,215.39200000000005
LA,louisiana,2039,215.39200000000005
LA,louisiana,2040,215.39200000000005
LA,louisiana,2041,215.39200000000005
LA,louisiana,2042,215.39200000000005
LA,louisiana,2043,215.39200000000005
LA,louisiana,2044,215.39200000000005
LA,louisiana,2045,215.39200000000005
LA,louisiana,2046,215.39200000000005
LA,louisiana,2047,215.39200000000005
LA,louisiana,2048,215.39200000000005
LA,louisiana,2049,215.39200000000005
LA,louisiana,2050,215.39200000000005
