,Year,iso_code3,Region,frac_trns_mtkm_dem_freight_rail_freight
0,2021,LA,louisiana,0.18788206622425796
1,2022,LA,louisiana,0.18788206622425796
2,2023,LA,louisiana,0.18788206622425796
3,2024,LA,louisiana,0.18788206622425796
4,2025,LA,louisiana,0.18788206622425796
5,2026,LA,louisiana,0.18788206622425796
6,2027,LA,louisiana,0.18788206622425796
7,2028,LA,louisiana,0.18788206622425796
8,2029,LA,louisiana,0.18788206622425796
9,2030,LA,louisiana,0.18788206622425796
10,2031,LA,louisiana,0.18788206622425796
11,2032,LA,louisiana,0.18788206622425796
12,2033,LA,louisiana,0.18788206622425796
13,2034,LA,louisiana,0.18788206622425796
14,2035,LA,louisiana,0.18788206622425796
15,2036,LA,louisiana,0.18788206622425796
16,2037,LA,louisiana,0.18788206622425796
17,2038,LA,louisiana,0.18788206622425796
18,2039,LA,louisiana,0.18788206622425796
19,2040,LA,louisiana,0.18788206622425796
20,2041,LA,louisiana,0.18788206622425796
21,2042,LA,louisiana,0.18788206622425796
22,2043,LA,louisiana,0.18788206622425796
23,2044,LA,louisiana,0.18788206622425796
24,2045,LA,louisiana,0.18788206622425796
25,2046,LA,louisiana,0.18788206622425796
26,2047,LA,louisiana,0.18788206622425796
27,2048,LA,louisiana,0.18788206622425796
28,2049,LA,louisiana,0.18788206622425796
29,2050,LA,louisiana,0.18788206622425796
