,Unnamed: 0,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_recycled_plastic
0,0,LA,louisiana,2010,0.0024924584641946
1,1,LA,louisiana,2011,0.0028201250795174
2,2,LA,louisiana,2012,0.0027883232758428
3,3,LA,louisiana,2013,0.0027381433734308
4,4,LA,louisiana,2014,0.0024565920312895
5,5,LA,louisiana,2015,0.002164984441491
6,6,LA,louisiana,2016,0.0018285462519846
7,7,LA,louisiana,2017,0.0018485578571721
8,8,LA,louisiana,2018,0.0016545059304701
9,9,LA,louisiana,2019,0.0016496981890563
10,10,LA,louisiana,2020,0.0015150105027163
