iso_code3,Region,Year,nemomod_entc_renewable_energy_tag_pp_geothermal
LA,louisiana,2025,1.0
LA,louisiana,2026,1.0
LA,louisiana,2027,1.0
LA,louisiana,2028,1.0
LA,louisiana,2029,1.0
LA,louisiana,2030,1.0
LA,louisiana,2031,1.0
LA,louisiana,2032,1.0
LA,louisiana,2033,1.0
LA,louisiana,2034,1.0
LA,louisiana,2035,1.0
LA,louisiana,2036,1.0
LA,louisiana,2037,1.0
LA,louisiana,2038,1.0
LA,louisiana,2039,1.0
LA,louisiana,2040,1.0
LA,louisiana,2041,1.0
LA,louisiana,2042,1.0
LA,louisiana,2043,1.0
LA,louisiana,2044,1.0
LA,louisiana,2045,1.0
LA,louisiana,2046,1.0
LA,louisiana,2047,1.0
LA,louisiana,2048,1.0
LA,louisiana,2049,1.0
LA,louisiana,2050,1.0
