"iso_code3","Region","Year","population_gnrl_rural"
"LA","louisiana",2021,1328499.46483333
"LA","louisiana",2022,1308206.67733333
"LA","louisiana",2023,1287425.5225
"LA","louisiana",2024,1266144.704
"LA","louisiana",2025,1244362.12916667
"LA","louisiana",2026,1222095.888
"LA","louisiana",2027,1199322.599
"LA","louisiana",2028,1176036.76166667
"LA","louisiana",2029,1152236.1915
"LA","louisiana",2030,1127922.22
"LA","louisiana",2031,1103099.38633333
"LA","louisiana",2032,1077775.762
"LA","louisiana",2033,1051962.95966667
"LA","louisiana",2034,1025675.07466667
"LA","louisiana",2035,998926.775
"LA","louisiana",2036,971734.296
"LA","louisiana",2037,944114.411333333
"LA","louisiana",2038,916083.03
"LA","louisiana",2039,887656.569833333
"LA","louisiana",2040,858850.933333333
"LA","louisiana",2041,829681.9125
"LA","louisiana",2042,800165.333333333
"LA","louisiana",2043,770315.981
"LA","louisiana",2044,740149.213
"LA","louisiana",2045,709679.380833333
"LA","louisiana",2046,678919.582
"LA","louisiana",2047,647877.7755
"LA","louisiana",2048,616562.955666666
"LA","louisiana",2049,584982.686166666
"LA","louisiana",2050,553142.3
