,Year,frac_trns_pkm_dem_regional_road_light,iso_code3,Region
0,2011,0.7979195905596975,LA,louisiana
1,2012,0.7944319198884676,LA,louisiana
2,2013,0.7920458809586849,LA,louisiana
3,2014,0.78545048527776,LA,louisiana
4,2015,0.7845141703859826,LA,louisiana
5,2016,0.7824515028668679,LA,louisiana
6,2017,0.7760588399049828,LA,louisiana
7,2018,0.7675291248479801,LA,louisiana
8,2019,0.7652452085847571,LA,louisiana
9,2020,0.8357737997484009,LA,louisiana
10,2021,0.7875182770858201,LA,louisiana
