"Year","Region","iso_code3","cost_enfu_fuel_kerosene_usd_per_m3"
2015,"louisiana","LA",327.911520952363
2016,"louisiana","LA",327.911520952363
2017,"louisiana","LA",327.911520952363
2018,"louisiana","LA",327.911520952363
2019,"louisiana","LA",327.911520952363
2020,"louisiana","LA",327.911520952363
2021,"louisiana","LA",358.976808674388
2022,"louisiana","LA",396.489606975907
2023,"louisiana","LA",444.247053035846
