Year,frac_scoe_heat_energy_commercial_municipal_kerosene,Iso_code3,Region
2015,0.0004020908725371,LA,louisiana
2016,0.0004053506282934,LA,louisiana
2017,0.0004110152075626,LA,louisiana
2018,0.0003889537145079,LA,louisiana
2019,0.0003985651654045,LA,louisiana
2020,0.0004293688278231,LA,louisiana
2021,0.0004199916001679,LA,louisiana
