iso_code3,Region,Year,nemomod_entc_residual_capacity_pp_gas_gw
LA,louisiana,2025,10.059000000000001
LA,louisiana,2026,9.2349
LA,louisiana,2027,5.5516
LA,louisiana,2028,3.0700000000000003
LA,louisiana,2029,2.0755
LA,louisiana,2030,1.9551
LA,louisiana,2031,1.8543000000000003
LA,louisiana,2032,1.7943000000000002
LA,louisiana,2033,1.7943000000000002
LA,louisiana,2034,1.7943000000000002
LA,louisiana,2035,1.1703
LA,louisiana,2036,1.1392
LA,louisiana,2037,1.1392
LA,louisiana,2038,1.1392
LA,louisiana,2039,1.1392
LA,louisiana,2040,1.1392
LA,louisiana,2041,1.0
LA,louisiana,2042,1.0
LA,louisiana,2043,1.0
LA,louisiana,2044,0.0
LA,louisiana,2045,0.0
LA,louisiana,2046,0.0
LA,louisiana,2047,0.0
LA,louisiana,2048,0.0
LA,louisiana,2049,0.0
LA,louisiana,2050,0.0
