iso_code3,Region,Year,frac_inen_energy_mining_oil
LA,louisiana,2000,0.1303888018385041
LA,louisiana,2001,0.139047332539585
LA,louisiana,2002,0.1313898296276406
LA,louisiana,2003,0.1289451696237498
LA,louisiana,2004,0.1319883502214671
LA,louisiana,2005,0.1331716352090315
LA,louisiana,2006,0.128193124214915
LA,louisiana,2007,0.1237414341523813
LA,louisiana,2008,0.1271454086451768
LA,louisiana,2009,0.123858622045524
LA,louisiana,2010,0.1296084878243443
LA,louisiana,2011,0.133352134417859
LA,louisiana,2012,0.1254661138705307
LA,louisiana,2013,0.1205358456065032
LA,louisiana,2014,0.1117233820697633
LA,louisiana,2015,0.1067003436073644
LA,louisiana,2016,0.0870112311578647
LA,louisiana,2017,0.0815937136249908
LA,louisiana,2018,0.0686342509426327
LA,louisiana,2019,0.0619974595109558
LA,louisiana,2020,0.0557099441863183
