iso_code3,Region,Year,frac_trns_fuelmix_road_heavy_freight_gasoline
LA,louisiana,2008,0.1005038134496286
LA,louisiana,2009,0.100501273728326
LA,louisiana,2010,0.1005056170641694
LA,louisiana,2011,0.1005036393114629
LA,louisiana,2012,0.1004934637693706
LA,louisiana,2013,0.1004929268375029
LA,louisiana,2014,0.1005048492095124
LA,louisiana,2015,0.1004913430042115
LA,louisiana,2016,0.1005014489922177
LA,louisiana,2017,0.1004993162230067
LA,louisiana,2018,0.1005024334157597
LA,louisiana,2019,0.1004996156802459
