iso_code3,Region,Year,frac_inen_energy_recycled_wood_oil
LA,louisiana,2021,0.032678426442117
LA,louisiana,2022,0.032427371528949
LA,louisiana,2023,0.0313400791206031
LA,louisiana,2024,0.0300131017033253
LA,louisiana,2025,0.0286830899179338
LA,louisiana,2026,0.0274639242722101
LA,louisiana,2027,0.0263783000179495
LA,louisiana,2028,0.0253940933441487
LA,louisiana,2029,0.0244661748523895
LA,louisiana,2030,0.0235610795540244
LA,louisiana,2031,0.0226635756451415
LA,louisiana,2032,0.0217743908601198
LA,louisiana,2033,0.0208986288757021
LA,louisiana,2034,0.02004172951624
LA,louisiana,2035,0.0192069038857724
LA,louisiana,2036,0.0183949224335956
LA,louisiana,2037,0.0176049891146223
LA,louisiana,2038,0.0168357268355989
LA,louisiana,2039,0.0160858182796106
LA,louisiana,2040,0.0153542493073865
LA,louisiana,2041,0.0146402920760609
LA,louisiana,2042,0.0139433888469277
LA,louisiana,2043,0.0132630426235827
LA,louisiana,2044,0.0125987554091117
LA,louisiana,2045,0.0119500114615779
LA,louisiana,2046,0.0113162860774818
LA,louisiana,2047,0.0106970613652562
LA,louisiana,2048,0.0100918383844664
LA,louisiana,2049,0.0095001426315005
LA,louisiana,2050,0.008921524253714
