iso_code3,Region,Year,frac_inen_energy_wood_electricity
LA,louisiana,2000,0.1780654344876671
LA,louisiana,2001,0.1758718544055911
LA,louisiana,2002,0.2162208212642699
LA,louisiana,2003,0.2151857572555076
LA,louisiana,2004,0.2125775022143489
LA,louisiana,2005,0.2217819689885622
LA,louisiana,2006,0.1888201957753735
LA,louisiana,2007,0.1983699156586107
LA,louisiana,2008,0.1896774193548387
LA,louisiana,2009,0.202282500826993
LA,louisiana,2010,0.1808951965065502
LA,louisiana,2011,0.1923835310044439
LA,louisiana,2012,0.2270020318083094
LA,louisiana,2013,0.2235085180556469
LA,louisiana,2014,0.2102034709754638
LA,louisiana,2015,0.1945294448260788
LA,louisiana,2016,0.1597006245417077
LA,louisiana,2017,0.1346466461327857
LA,louisiana,2018,0.1364579097193981
LA,louisiana,2019,0.1557685965986715
LA,louisiana,2020,0.1629463730247604
