,iso_code3,Region,Year,consumpinit_inen_energy_tj_per_tonne_production_chemicals
0,LA,louisiana,2010,0.029847433377506546
1,LA,louisiana,2011,0.0285142226427084
2,LA,louisiana,2012,0.026869541840077626
3,LA,louisiana,2013,0.02562014693482521
4,LA,louisiana,2014,0.026648107961467028
5,LA,louisiana,2015,0.027016862464358884
6,LA,louisiana,2016,0.028472205442969772
7,LA,louisiana,2017,0.030083102755335517
8,LA,louisiana,2018,0.03002589676362401
9,LA,louisiana,2019,0.02811149289406977
10,LA,louisiana,2020,0.02629039332950247
