"year","location_code","prodinit_ippu_chemicals_tonne"
2010,"ABW",2013.27657153323
2011,"ABW",2142.63147429096
2012,"ABW",1693.33973779326
2013,"ABW",1374.08781145417
2014,"ABW",3879.70650725396
2015,"ABW",1196.76032561911
2016,"ABW",1541.36758532616
2017,"ABW",1308.08836086322
2018,"ABW",1100.70077550691
2019,"ABW",1738.21689023911
2020,"ABW",1327.43108854793
2010,"AGO",35523.0161822709
2011,"AGO",34522.0223353918
2012,"AGO",64438.1012198177
2013,"AGO",64282.6329241848
2014,"AGO",72991.0982953186
2015,"AGO",55404.7443955159
2016,"AGO",81722.7603032992
2017,"AGO",86777.3911497409
2018,"AGO",74853.32376909
2019,"AGO",114264.769021169
2020,"AGO",73045.7484733161
2010,"ALB",9868.41060822129
2011,"ALB",12083.796672529
2012,"ALB",15670.1199766341
2013,"ALB",14152.119995578
2014,"ALB",12853.2490706624
2015,"ALB",14798.9990424248
2016,"ALB",14871.3042918601
2017,"ALB",11197.3623217789
2018,"ALB",13922.8102098652
2019,"ALB",16324.0640755508
2020,"ALB",19346.2867625746
2010,"ARE",443431.461446991
2011,"ARE",509608.789572509
2012,"ARE",750772.232955719
2013,"ARE",743330.674365698
2014,"ARE",897537.304631348
2015,"ARE",868860.290262675
2016,"ARE",714853.085601359
2017,"ARE",929883.775028154
2018,"ARE",1254118.91476702
2019,"ARE",1100899.53122352
2020,"ARE",854514.877194679
2010,"ARG",2978679.06037937
2011,"ARG",3211355.57059913
2012,"ARG",3560861.20266688
2013,"ARG",3595200.34049784
2014,"ARG",3854525.80079305
2015,"ARG",4413318.9874297
2016,"ARG",3884765.09819544
2017,"ARG",3936470.15359493
2018,"ARG",3372509.58179115
2019,"ARG",3571377.79950367
2020,"ARG",3851302.29596548
2010,"ARM",8503.87420010981
2011,"ARM",8789.20782127866
2012,"ARM",11587.280826414
2013,"ARM",11099.0426932942
2014,"ARM",11409.4486695466
2015,"ARM",11819.2507675997
2016,"ARM",15775.9129681578
2017,"ARM",11327.9382286633
2018,"ARM",10920.3571899716
2019,"ARM",13430.9891082608
2020,"ARM",18768.5293424229
2010,"ASM",457.909085901822
2011,"ASM",1680.11700512636
2012,"ASM",399.949881664245
2013,"ASM",3981.3114306996
2014,"ASM",177.354327187362
2015,"ASM",51.2583072019637
2016,"ASM",55.1232379468603
2017,"ASM",35.5415194069704
2018,"ASM",31.6793049552519
2019,"ASM",69.3277510817026
2020,"ASM",103.975925745404
2010,"ATG",1494.29476722908
2011,"ATG",1546.9259237895
2012,"ATG",1167.93502032878
2013,"ATG",973.007820474958
2014,"ATG",674.892301072075
2015,"ATG",1128.71553262359
2016,"ATG",384.029148237615
2017,"ATG",331.82907795353
2018,"ATG",357.380349417628
2019,"ATG",545.811823155843
2020,"ATG",336.823608553686
2010,"AUS",6415080.07726142
2011,"AUS",6352907.17066642
2012,"AUS",7146815.12961504
2013,"AUS",8333683.15621094
2014,"AUS",7434655.85558036
2015,"AUS",7904795.8799791
2016,"AUS",7390837.95137156
2017,"AUS",6351412.9182836
2018,"AUS",6491320.78634813
2019,"AUS",5815514.91874239
2020,"AUS",5144778.25449074
2010,"AUT",1654679.02739029
2011,"AUT",1703528.71058129
2012,"AUT",1986922.05007771
2013,"AUT",2329111.41901195
2014,"AUT",2731849.93709084
2015,"AUT",2552667.09797217
2016,"AUT",2437857.53090443
2017,"AUT",2890032.43806203
2018,"AUT",1951472.01113506
2019,"AUT",2271211.32917361
2020,"AUT",2212046.43396652
2010,"AZE",54103.8836387065
2011,"AZE",55644.7029961329
2012,"AZE",76308.2404538577
2013,"AZE",99481.9884048549
2014,"AZE",107455.700362709
2015,"AZE",73706.1833771965
2016,"AZE",48162.0939989082
2017,"AZE",60609.4000162946
2018,"AZE",66230.2396764217
2019,"AZE",119841.406540888
2020,"AZE",104760.080136467
2010,"BDI",3439.60518969647
2011,"BDI",3372.19308577251
2012,"BDI",4368.40350347962
2013,"BDI",7011.73797314507
2014,"BDI",6642.04588236889
2015,"BDI",15382.6818097911
2016,"BDI",24119.5750240304
2017,"BDI",21261.8709478481
2018,"BDI",16049.7684010629
2019,"BDI",16373.8631317912
2020,"BDI",34240.9573741808
2010,"BEL",9085851.6927184
2011,"BEL",8829913.82971151
2012,"BEL",8702500.63069257
2013,"BEL",9507853.89317867
2014,"BEL",9892583.02519332
2015,"BEL",7828068.53174703
2016,"BEL",9087814.05718096
2017,"BEL",8737963.05394082
2018,"BEL",9866187.73364388
2019,"BEL",8700981.71259491
2020,"BEL",7997556.67895919
2010,"BEN",11479.8501044563
2011,"BEN",21920.8965875227
2012,"BEN",26988.7390533541
2013,"BEN",12017.2026706648
2014,"BEN",24252.5862165598
2015,"BEN",16535.2431138594
2016,"BEN",16397.083818709
2017,"BEN",24036.2849333266
2018,"BEN",23429.4302351536
2019,"BEN",41576.6758806744
2020,"BEN",38908.9764299295
2010,"BFA",34835.3485690273
2011,"BFA",43260.4384565749
2012,"BFA",55709.5613105757
2013,"BFA",56067.8109789498
2014,"BFA",40338.6694941022
2015,"BFA",44643.8514392998
2016,"BFA",59584.1646838506
2017,"BFA",56149.8251966787
2018,"BFA",41212.5718727546
2019,"BFA",43038.9513062795
2020,"BFA",47484.1193308093
2010,"BGD",748473.999028342
2011,"BGD",786337.291993411
2012,"BGD",632665.763377349
2013,"BGD",612658.103733112
2014,"BGD",747539.719830809
2015,"BGD",982136.680441074
2016,"BGD",1243240.28356122
2017,"BGD",1274921.19518534
2018,"BGD",1286347.77443641
2019,"BGD",1400270.20085307
2020,"BGD",1565352.16028117
2010,"BGR",205191.933944586
2011,"BGR",240622.443922131
2012,"BGR",228570.912440866
2013,"BGR",226071.336041024
2014,"BGR",232525.289120599
2015,"BGR",265195.067453965
2016,"BGR",256607.180530397
2017,"BGR",278766.861671002
2018,"BGR",272418.994252591
2019,"BGR",288572.006580755
2020,"BGR",288502.004295909
2010,"BHR",134554.643786614
2011,"BHR",58085.7313336731
2012,"BHR",83030.2455534071
2013,"BHR",66667.4961866654
2014,"BHR",76627.9675008025
2015,"BHR",147918.315896496
2016,"BHR",125747.928282383
2017,"BHR",130681.921013787
2018,"BHR",156427.041175368
2019,"BHR",165480.644903725
2020,"BHR",81549.2576568717
2010,"BHS",80207.1881134064
2011,"BHS",40372.36297222
2012,"BHS",127685.548145784
2013,"BHS",49871.8778163395
2014,"BHS",50622.8162144577
2015,"BHS",58362.1213884995
2016,"BHS",70479.8406404516
2017,"BHS",70333.7618564895
2018,"BHS",69487.6810942311
2019,"BHS",46568.4359985607
2020,"BHS",41801.7872614201
2010,"BIH",132290.99807265
2011,"BIH",141828.13686311
2012,"BIH",124676.429618014
2013,"BIH",131886.094779692
2014,"BIH",146369.030798563
2015,"BIH",152772.10512895
2016,"BIH",158407.272779653
2017,"BIH",173717.075344904
2018,"BIH",155261.675026863
2019,"BIH",139741.828578015
2020,"BIH",132240.465551956
2010,"BLR",609072.082492161
2011,"BLR",519633.052096512
2012,"BLR",517493.396279566
2013,"BLR",607139.647045941
2014,"BLR",758014.432954795
2015,"BLR",784395.645343752
2016,"BLR",581077.052490341
2017,"BLR",643696.540283877
2018,"BLR",659676.317709935
2019,"BLR",789023.498938577
2020,"BLR",698069.510399665
2010,"BLZ",7913.12204835902
2011,"BLZ",6210.34090961496
2012,"BLZ",5812.30914598203
2013,"BLZ",4706.32874847832
2014,"BLZ",5069.62386211354
2015,"BLZ",4956.05010461406
2016,"BLZ",5078.83614437317
2017,"BLZ",5813.82801685764
2018,"BLZ",5578.99028117686
2019,"BLZ",5148.8893530211
2020,"BLZ",13795.8885537747
2010,"BMU",1294.1110633874
2011,"BMU",1317.06495382826
2012,"BMU",1308.31703335538
2013,"BMU",1577.09986784628
2014,"BMU",1666.89937501083
2015,"BMU",1598.8630292243
2016,"BMU",2343.30950786157
2017,"BMU",1504.28548725242
2018,"BMU",1204.49339285602
2019,"BMU",1250.53528822111
2020,"BMU",1629.87304434203
2010,"BOL",51274.8757695624
2011,"BOL",52558.3880322597
2012,"BOL",87055.8173281363
2013,"BOL",62794.7814380807
2014,"BOL",55335.9255585382
2015,"BOL",68789.8279815004
2016,"BOL",72621.1296301929
2017,"BOL",82256.0889329591
2018,"BOL",117814.634951189
2019,"BOL",119136.890240634
2020,"BOL",88970.0358191038
2010,"BRA",19005282.9583538
2011,"BRA",20636289.1512285
2012,"BRA",20650914.6220811
2013,"BRA",20090607.7746562
2014,"BRA",21817099.511414
2015,"BRA",20054290.3089959
2016,"BRA",21678310.4743433
2017,"BRA",24240547.935411
2018,"BRA",21299704.2729466
2019,"BRA",21407625.8748449
2020,"BRA",17500919.0055442
2010,"BRB",7743.47864008528
2011,"BRB",4697.69646224135
2012,"BRB",5335.64729779573
2013,"BRB",3023.67954524947
2014,"BRB",4723.08573095764
2015,"BRB",4043.5388794931
2016,"BRB",4038.97681059136
2017,"BRB",3878.22577890816
2018,"BRB",3357.00789941284
2019,"BRB",4160.44729666058
2020,"BRB",3758.1477214911
2010,"BRN",35291.9086136942
2011,"BRN",44406.9626159733
2012,"BRN",49011.4272903844
2013,"BRN",23953.8812285502
2014,"BRN",56554.7393654519
2015,"BRN",41994.6024051882
2016,"BRN",65292.1873714424
2017,"BRN",54176.6128190182
2018,"BRN",78853.0401306448
2019,"BRN",62405.1704647289
2020,"BRN",246185.03057975
2010,"BTN",5599.28983504851
2011,"BTN",5796.0884639784
2012,"BTN",3438.73386320155
2013,"BTN",5812.23391042398
2014,"BTN",8358.46174843345
2015,"BTN",13297.0051093366
2016,"BTN",12037.6027539467
2017,"BTN",11335.102075528
2018,"BTN",6633.83581190633
2019,"BTN",4582.85390129622
2020,"BTN",3091.39281748511
2010,"BWA",22584.3866595545
2011,"BWA",17449.7568895584
2012,"BWA",15462.3313548499
2013,"BWA",18444.4422422817
2014,"BWA",21334.0313596919
2015,"BWA",20714.4956028912
2016,"BWA",19320.8949792523
2017,"BWA",24983.045646414
