iso_code3,Region,Year,frac_inen_energy_cement_natural_gas
LA,louisiana,2021,0.5131758448000596
LA,louisiana,2022,0.5405442126763444
LA,louisiana,2023,0.5666474965885758
LA,louisiana,2024,0.5817508855371596
LA,louisiana,2025,0.5886863354374254
LA,louisiana,2026,0.5918713656652245
LA,louisiana,2027,0.5956099941665862
LA,louisiana,2028,0.6026545264760339
LA,louisiana,2029,0.6137308440453803
LA,louisiana,2030,0.6281369670325211
LA,louisiana,2031,0.6348061591722296
LA,louisiana,2032,0.636382448023328
LA,louisiana,2033,0.6379069955602571
LA,louisiana,2034,0.6391410477688217
LA,louisiana,2035,0.6401437720415143
LA,louisiana,2036,0.6410502350971632
LA,louisiana,2037,0.6419453373988316
LA,louisiana,2038,0.6428423460467989
LA,louisiana,2039,0.643717352078232
LA,louisiana,2040,0.6445483934161027
LA,louisiana,2041,0.6453337498395151
LA,louisiana,2042,0.6460892313751504
LA,louisiana,2043,0.6468360596791185
LA,louisiana,2044,0.6475903415662376
LA,louisiana,2045,0.6483589784586483
LA,louisiana,2046,0.6491412059636789
LA,louisiana,2047,0.6499325085379907
LA,louisiana,2048,0.6507280660404905
LA,louisiana,2049,0.651524505589925
LA,louisiana,2050,0.6523201257459814
