Year,iso_code3,pop_lvst_initial_sheep
2023,LA,14200
2024,LA,14200
2025,LA,14200
2026,LA,14200
2027,LA,14200
2028,LA,14200
2029,LA,14200
2030,LA,14200
2031,LA,14200
2032,LA,14200
2033,LA,14200
2034,LA,14200
2035,LA,14200
2036,LA,14200
2037,LA,14200
2038,LA,14200
2039,LA,14200
2040,LA,14200
2041,LA,14200
2042,LA,14200
2043,LA,14200
2044,LA,14200
2045,LA,14200
2046,LA,14200
2047,LA,14200
2048,LA,14200
2049,LA,14200
2050,LA,14200
