Region,Unit,2001,2009,2017
United States,Person miles (millions),7.945.498,7.465.582,7.940.574
Alabama,Person miles (millions),124.448,125.566,158.05
Alaska,Person miles (millions),,27.51,15.978
Arizona,Person miles (millions),143.198,159.15,228.606
Arkansas,Person miles (millions),84.284,73.636,59.954
California,Person miles (millions),1.035.702,791.784,957.212
Colorado,Person miles (millions),135.84,125.294,140.264
Connecticut,Person miles (millions),84.766,86.91,63.498
Delaware,Person miles (millions),,26.062,28.77
District of Columbia,Person miles (millions),,6.84,17.542
Florida,Person miles (millions),378.532,415.764,432.13
Georgia,Person miles (millions),274.32,252.834,263.478
Hawaii,Person miles (millions),22.908,17.722,28.296
Idaho,Person miles (millions),,34.628,32.924
Illinois,Person miles (millions),329.192,378.968,297.054
Indiana,Person miles (millions),170.198,142.754,155.168
Iowa,Person miles (millions),92.672,64.06,89.406
Kansas,Person miles (millions),81.992,77.486,52.792
Kentucky,Person miles (millions),143.976,112.09,131.022
Louisiana,Person miles (millions),106.864,129.714,81.59
Maine,Person miles (millions),,35.048,39.812
Maryland,Person miles (millions),140.536,155.794,173.182
Massachusetts,Person miles (millions),150.962,159.532,141.132
Michigan,Person miles (millions),286.344,264.938,246.196
Minnesota,Person miles (millions),181.786,122.914,225.124
Mississippi,Person miles (millions),52.572,92.858,76.208
Missouri,Person miles (millions),166.742,209.268,118.102
Montana,Person miles (millions),,30.596,30.914
Nebraska,Person miles (millions),,46.428,36.694
Nevada,Person miles (millions),,47.584,41.746
New Hampshire,Person miles (millions),,34.746,35.184
New Jersey,Person miles (millions),168.046,237.244,276.452
New Mexico,Person miles (millions),,50.476,47.032
New York,Person miles (millions),389.296,343.75,416.126
North Carolina,Person miles (millions),285.52,233.698,251.358
North Dakota,Person miles (millions),,14.676,16.842
Ohio,Person miles (millions),306.674,309.646,242.21
Oklahoma,Person miles (millions),85.906,104.468,124.836
Oregon,Person miles (millions),77.68,81.522,90.518
Pennsylvania,Person miles (millions),325.578,291.988,276.426
Rhode Island,Person miles (millions),,23.34,20.07
South Carolina,Person miles (millions),114.318,112.496,129.696
South Dakota,Person miles (millions),,19.288,25.962
Tennessee,Person miles (millions),170.634,159.418,189
Texas,Person miles (millions),615.154,581.732,708.182
Utah,Person miles (millions),47.438,78.54,72.238
Vermont,Person miles (millions),,16.016,16.46
Virginia,Person miles (millions),294.232,193.412,249.234
Washington,Person miles (millions),178.024,165.004,190.326
West Virginia,Person miles (millions),,45.494,36.212
Wisconsin,Person miles (millions),151.498,140.288,147.074
Wyoming,Person miles (millions),,14.61,16.29
