,Year,frac_trns_pkm_dem_regional_road_heavy_regional,iso_code3,Region
0,2011,0.06237613009297725,LA,louisiana
1,2012,0.06573178945636901,LA,louisiana
2,2013,0.06686437384169278,LA,louisiana
3,2014,0.06985757909217492,LA,louisiana
4,2015,0.06843505768529516,LA,louisiana
5,2016,0.06750450835573178,LA,louisiana
6,2017,0.070163250700282,LA,louisiana
7,2018,0.07312411687768211,LA,louisiana
8,2019,0.07109409108754362,LA,louisiana
9,2020,0.07522087218436897,LA,louisiana
10,2021,0.0735480673602747,LA,louisiana
