"iso_code3","frac_waso_initial_composition_mun_plastic","Year"
"LA",0.129,2010
"LA",0.129,2011
"LA",0.129,2012
"LA",0.129,2013
"LA",0.129,2014
"LA",0.129,2015
"LA",0.129,2016
"LA",0.129,2017
"LA",0.129,2018
"LA",0.129,2019
"LA",0.129,2020
