iso_code3,Region,Year,frac_inen_energy_recycled_wood_oil
LA,louisiana,2000,0.0161918106803674
LA,louisiana,2001,0.01943760407139
LA,louisiana,2002,0.031885045720452
LA,louisiana,2003,0.0272010405658076
LA,louisiana,2004,0.0289529484392194
LA,louisiana,2005,0.029455582851256
LA,louisiana,2006,0.0361458479696501
LA,louisiana,2007,0.0396301359263366
LA,louisiana,2008,0.0653687539531941
LA,louisiana,2009,0.0655888190539199
LA,louisiana,2010,0.0478766375545851
LA,louisiana,2011,0.0517702110126842
LA,louisiana,2012,0.05465914664051
LA,louisiana,2013,0.054906926264553
LA,louisiana,2014,0.0528456014362657
LA,louisiana,2015,0.0572659713982389
LA,louisiana,2016,0.0384257503350274
LA,louisiana,2017,0.0332541923340177
LA,louisiana,2018,0.0257055713704758
LA,louisiana,2019,0.0288712488811419
LA,louisiana,2020,0.0295782008212019
