"Year","Region","iso_code3","frac_lvst_mm_pigs_anaerobic_lagoon"
2015,"louisiana","LA",0.28
2016,"louisiana","LA",0.28
2017,"louisiana","LA",0.28
2018,"louisiana","LA",0.28
2019,"louisiana","LA",0.28
2020,"louisiana","LA",0.28
