"year","location_code","prodinit_ippu_glass_tonne"
2018,"BGD",53799.8706687126
2019,"BGD",57158.4744035837
2020,"BGD",53238.0745338472
2010,"BGR",58114.745176717
2011,"BGR",57869.0034199106
2012,"BGR",51395.8024946727
2013,"BGR",50531.1769456346
2014,"BGR",52849.5834951386
2015,"BGR",53027.4271449658
2016,"BGR",60060.6618484393
2017,"BGR",60839.2850844134
2018,"BGR",65838.2646919899
2019,"BGR",69293.6048896736
2020,"BGR",87921.6321297709
2010,"BHR",8281.1175383539
2011,"BHR",6928.6353641532
2012,"BHR",7566.96111007458
2013,"BHR",8691.6397118273
2014,"BHR",7248.13617616129
2015,"BHR",8797.67635425263
2016,"BHR",8491.05707391781
2017,"BHR",11440.8886755774
2018,"BHR",14004.8714448077
2019,"BHR",14471.4304574656
2020,"BHR",11975.6859326383
2010,"BHS",1632.34051852532
2011,"BHS",1705.01874023446
2012,"BHS",2557.64075200327
2013,"BHS",2139.83747830436
2014,"BHS",2646.38302166106
2015,"BHS",3471.57102092814
2016,"BHS",3474.41076659102
2017,"BHS",3324.3044171494
2018,"BHS",4120.4904682443
2019,"BHS",3180.85117971693
2020,"BHS",3938.29396284918
2010,"BIH",7540.77289114344
2011,"BIH",7566.2915477123
2012,"BIH",6957.39562014076
2013,"BIH",9886.82609968232
2014,"BIH",9608.94592025041
2015,"BIH",8846.28889291447
2016,"BIH",10050.595707459
2017,"BIH",9634.65931613028
2018,"BIH",11713.8414412823
2019,"BIH",11800.4388050434
2020,"BIH",12221.4521946151
2010,"BLR",33427.9088965999
2011,"BLR",28610.081475653
2012,"BLR",27601.1179626305
2013,"BLR",39878.3791385307
2014,"BLR",41842.7014645457
2015,"BLR",29631.279298008
2016,"BLR",33208.2765800806
2017,"BLR",38181.5750642967
2018,"BLR",37569.4576340529
2019,"BLR",39435.6554573989
2020,"BLR",36549.5414343678
2010,"BLZ",470.263811991544
2011,"BLZ",512.358396961973
2012,"BLZ",484.431625540476
2013,"BLZ",647.540716305786
2014,"BLZ",634.977146083027
2015,"BLZ",806.518287779073
2016,"BLZ",722.614869149503
2017,"BLZ",837.018785636682
2018,"BLZ",676.227524359753
2019,"BLZ",754.618549246694
2020,"BLZ",732.444494083822
2010,"BMU",1003.88321005801
2011,"BMU",636.562851336212
