"Year","Region","iso_code3","cost_enfu_fuel_waste_usd_per_mmbtu"
2015,"louisiana","LA",9380
2016,"louisiana","LA",9380
2017,"louisiana","LA",9380
2018,"louisiana","LA",9380
2019,"louisiana","LA",9380
2020,"louisiana","LA",9380
2021,"louisiana","LA",9380
2022,"louisiana","LA",9380
2023,"louisiana","LA",9380
