"year","location_code","prodinit_ippu_paper_tonne"
2010,"ABW",7115.46343903736
2011,"ABW",5558.39916705089
2012,"ABW",6412.8284882192
2013,"ABW",5587.370323288
2014,"ABW",6119.47974653002
2015,"ABW",9495.13059265656
2016,"ABW",8526.25409623731
2017,"ABW",7429.89503574019
2018,"ABW",7616.03200909559
2019,"ABW",9563.04373455729
2020,"ABW",7193.43766677929
2010,"AGO",128796.170529634
2011,"AGO",198921.387184406
2012,"AGO",286448.112003864
2013,"AGO",297401.633434577
2014,"AGO",322954.879943341
2015,"AGO",209097.535236654
2016,"AGO",216805.782924942
2017,"AGO",281431.581169087
2018,"AGO",263873.147400831
2019,"AGO",269404.298918175
2020,"AGO",183771.122611406
2010,"ALB",97973.4417436681
2011,"ALB",84645.4478232231
2012,"ALB",111782.701973327
2013,"ALB",146283.285274125
2014,"ALB",162511.880315969
2015,"ALB",141524.579327417
2016,"ALB",132658.994552088
2017,"ALB",127876.933154078
2018,"ALB",140322.15719813
2019,"ALB",143392.826894756
2020,"ALB",160540.967717406
2010,"ARE",919506.091829456
2011,"ARE",978653.403681069
2012,"ARE",879670.936392277
2013,"ARE",942569.072640233
2014,"ARE",1002669.24561742
2015,"ARE",915434.889581006
2016,"ARE",809070.824763149
2017,"ARE",914559.56223628
2018,"ARE",1140689.82547196
2019,"ARE",1189418.98694486
2020,"ARE",1020521.15514933
2010,"ARG",2835166.30218178
2011,"ARG",3133876.58292078
2012,"ARG",3508383.45851769
2013,"ARG",3270420.50347339
2014,"ARG",2849576.6305876
2015,"ARG",3744864.13482992
2016,"ARG",2645385.59929174
2017,"ARG",3076957.50364109
2018,"ARG",2087173.47431527
2019,"ARG",1968551.93156647
2020,"ARG",1903256.6820007
2010,"ARM",26243.4294838898
2011,"ARM",33002.418636596
2012,"ARM",35947.9573068981
2013,"ARM",31840.6490083366
2014,"ARM",41464.3050187592
2015,"ARM",36593.9192117253
2016,"ARM",33365.4571190929
2017,"ARM",42432.0957145796
2018,"ARM",43921.2642061135
2019,"ARM",45268.4172074143
2020,"ARM",55019.5339192521
2010,"ASM",1145.12639645245
2011,"ASM",1148.79268883111
2012,"ASM",1158.1460306767
2013,"ASM",1057.52931442116
2014,"ASM",1477.46450364751
2015,"ASM",1512.9698666584
2016,"ASM",1481.72490759318
2017,"ASM",1472.78092491867
2018,"ASM",1535.42679628596
2019,"ASM",1029.37371471513
2020,"ASM",1532.95437597868
2010,"ATG",3789.06692236833
2011,"ATG",3359.75242153811
2012,"ATG",6200.50592816674
2013,"ATG",2527.43923016696
2014,"ATG",2324.02595721573
2015,"ATG",3065.83839715955
2016,"ATG",3188.43059562655
2017,"ATG",3451.45542964046
2018,"ATG",4068.19753592353
2019,"ATG",3997.71157951979
2020,"ATG",4452.48742628873
2010,"AUS",6245531.66599522
2011,"AUS",6425300.64308738
2012,"AUS",6217357.12075296
2013,"AUS",5966090.50408377
2014,"AUS",5943222.48888536
2015,"AUS",5459549.6737174
2016,"AUS",5172699.248789
2017,"AUS",5205692.45165653
2018,"AUS",5013372.53491281
2019,"AUS",4642985.72873649
2020,"AUS",4646433.28551076
2010,"AUT",5294565.8657354
2011,"AUT",5433930.50732576
2012,"AUT",5237197.03768956
2013,"AUT",5193190.55373725
2014,"AUT",5321844.63508984
2015,"AUT",4857832.24037238
2016,"AUT",4909174.56448612
2017,"AUT",4901391.0504158
2018,"AUT",4752443.78108584
2019,"AUT",4415660.3994881
2020,"AUT",4346598.575708
2010,"AZE",216925.132614043
2011,"AZE",221825.379842418
2012,"AZE",282491.389415119
2013,"AZE",298741.961472515
2014,"AZE",281882.729194322
2015,"AZE",188310.119366633
2016,"AZE",117620.523589728
2017,"AZE",134399.577576448
2018,"AZE",152953.443880319
2019,"AZE",193382.354010712
2020,"AZE",185184.200306622
2010,"BDI",11391.5817481737
2011,"BDI",9308.83906311019
2012,"BDI",10645.6946827393
2013,"BDI",9592.38118225818
2014,"BDI",8310.8910600198
2015,"BDI",24977.3776250157
2016,"BDI",22155.8651337909
2017,"BDI",20482.6994938759
2018,"BDI",15596.2616471215
2019,"BDI",17057.992879361
2020,"BDI",21276.8086243126
2010,"BEL",4593017.37132861
2011,"BEL",4641230.56030742
2012,"BEL",4409011.26540513
2013,"BEL",4557474.78121707
2014,"BEL",4449703.7963897
2015,"BEL",3784560.64854662
2016,"BEL",3640004.58072447
2017,"BEL",3671615.41151908
2018,"BEL",3567732.0514834
2019,"BEL",3295531.71552529
2020,"BEL",3122613.7438286
2010,"BEN",35195.9991297429
2011,"BEN",50806.5170306162
2012,"BEN",49673.3326681634
2013,"BEN",40856.2790306002
2014,"BEN",48815.5171446257
2015,"BEN",65232.2813122642
2016,"BEN",59534.4616872002
2017,"BEN",38982.3425984413
2018,"BEN",39159.7017292171
2019,"BEN",40141.5123833969
2020,"BEN",51825.8213097243
2010,"BFA",31158.4346487355
2011,"BFA",104902.908919014
2012,"BFA",28196.4591092392
2013,"BFA",26418.4092417062
2014,"BFA",37793.7590790841
2015,"BFA",33606.4101068749
2016,"BFA",34133.2913776933
2017,"BFA",38738.5945089508
2018,"BFA",47505.8291622993
2019,"BFA",73525.5928827554
2020,"BFA",45597.9689036353
2010,"BGD",736415.730320957
2011,"BGD",588519.374367797
2012,"BGD",625297.742431376
2013,"BGD",717590.576079262
2014,"BGD",787259.726653419
2015,"BGD",1004808.20387676
2016,"BGD",1401540.74758065
2017,"BGD",1455797.24562745
2018,"BGD",1231174.84597777
2019,"BGD",1228260.80121188
2020,"BGD",1257791.39879803
2010,"BGR",344312.284062455
2011,"BGR",364595.857420715
2012,"BGR",361760.106572068
2013,"BGR",382369.799705904
2014,"BGR",396442.314012301
2015,"BGR",386740.529468335
2016,"BGR",414358.800249091
2017,"BGR",412458.106982112
2018,"BGR",434247.06923432
2019,"BGR",449349.202591261
2020,"BGR",478480.871458971
2010,"BHR",79186.3852407215
